ESCA	Escalade, Incorporated	Leisure	198.77M
ESE	ESCO Technologies Inc.	Scientific & Technical Instruments	7.18B
ESEA	Euroseas Ltd.	Marine Shipping	485.02M
ESGL	ESGL Holdings Limited	Waste Management	128.78M
ESHA	ESH Acquisition Corp.	Shell Companies	46.98M
ESI	Element Solutions Inc	Specialty Chemicals	8.55B
ESLA	Estrella Immunopharma, Inc.	Biotechnology	51.28M
ESLT	Elbit Systems Ltd.	Aerospace & Defense	35.53B
ESNT	Essent Group Ltd.	Insurance - Specialty	5.75B
ESOA	Energy Services of America Corporation	Engineering & Construction	290.77M
ESP	Espey Mfg. & Electronics Corp.	Electrical Equipment & Parts	171.41M
ESPR	Esperion Therapeutics, Inc.	Drug Manufacturers - Specialty & Generic	788.69M
ESQ	Esquire Financial Holdings, Inc.	Banks - Regional	818.48M
ESRT	Empire State Realty Trust, Inc.	REIT - Diversified	1.63B
ESS	Essex Property Trust, Inc.	REIT - Residential	17.02B
ESTA	Establishment Labs Holdings Inc.	Medical Devices	2.29B
ESTC	Elastic N.V.	Software - Application	5.42B
ET	Energy Transfer LP	Oil & Gas Midstream	64.82B
ETD	Ethan Allen Interiors Inc.	Furnishings, Fixtures & Appliances	579.67M
ETHM	Dynamix Corporation	Shell Companies	229.97M
ETHZ	ETHZilla Corporation	Biotechnology	67.11M
ETN	Eaton Corporation plc	Specialty Industrial Machinery	145.82B
ETON	Eton Pharmaceuticals, Inc.	Drug Manufacturers - Specialty & Generic	455.63M
ETOR	eToro Group Ltd.	Capital Markets	2.57B
ETR	Entergy Corporation	Utilities - Regulated Electric	48.52B
ETS	Elite Express Holding Inc.	Trucking	7.72M
ETSY	Etsy, Inc.	Internet Retail	5.28B
EU	enCore Energy Corp.	Uranium	505.40M
EUDA	EUDA Health Holdings Limited	Real Estate Services	36.85M
EURK	Eureka Acquisition Corp	Shell Companies	53.57M
EVAC	EQV Ventures Acquisition Corp. II	Shell Companies	589.74M
EVAX	Evaxion A/S	Biotechnology	26.36M
EVC	Entravision Communications Corporation	Advertising Agencies	282.03M
EVCM	EverCommerce Inc.	Software - Infrastructure	2.06B
EVER	EverQuote, Inc.	Internet Content & Information	569.27M
EVEX	Eve Holding, Inc.	Aerospace & Defense	1.04B
EVGN	Evogene Ltd.	Biotechnology	7.44M
EVGO	EVgo, Inc.	Specialty Retail	843.87M
EVH	Evolent Health, Inc.	Health Information Services	362.82M
EVI	EVI Industries, Inc.	Industrial Distribution	249.91M
EVLV	Evolv Technologies Holdings, Inc.	Security & Protection Services	925.47M
EVMN	Evommune, Inc.	Biotechnology	819.63M
EVO	Evotec SE	Drug Manufacturers - Specialty & Generic	1.23B
EVOX	Evolution Global Acquisition Corp	Shell Companies	319.68M
EVR	Evercore Inc.	Capital Markets	13.03B
EVRG	Evergy, Inc.	Utilities - Regulated Electric	19.27B
EVTC	EVERTEC, Inc.	Software - Infrastructure	1.81B
EVTL	Vertical Aerospace Ltd.	Aerospace & Defense	417.72M
EVTV	Envirotech Vehicles, Inc.	Auto Manufacturers	7.73M
EW	Edwards Lifesciences Corporation	Medical Devices	50.22B
EWBC	East West Bancorp, Inc.	Banks - Regional	15.06B
EWCZ	European Wax Center, Inc.	Household & Personal Products	311.95M
EWTX	Edgewise Therapeutics, Inc.	Biotechnology	3.22B
EXAS	Exact Sciences Corporation	Diagnostics & Research	19.73B
EXC	Exelon Corporation	Utilities - Regulated Electric	50.60B
EXE	Expand Energy Corporation	Oil & Gas Exploration & Production	25.94B
EXEL	Exelixis, Inc.	Biotechnology	11.44B
EXFY	Expensify, Inc.	Software - Application	88.40M
EXK	Endeavour Silver Corp.	Silver	4.09B
EXLS	ExlService Holdings, Inc.	Information Technology Services	4.89B
EXOD	Exodus Movement, Inc.	Software - Infrastructure	303.09M
EXOZ	eXoZymes, Inc.	Biotechnology	74.34M
EXP	Eagle Materials Inc.	Building Materials	7.03B
EXPD	Expeditors International of Washington, Inc.	Integrated Freight & Logistics	19.36B
EXPE	Expedia Group, Inc.	Travel Services	26.43B
EXPI	eXp World Holdings, Inc.	Real Estate Services	1.13B
EXPO	Exponent, Inc.	Engineering & Construction	3.63B
EXR	Extra Space Storage Inc.	REIT - Industrial	33.31B
EXTR	Extreme Networks, Inc.	Communication Equipment	1.88B
EYE	National Vision Holdings, Inc.	Specialty Retail	2.14B
EYPT	EyePoint, Inc.	Biotechnology	1.45B
EZGO	EZGO Technologies Ltd.	Recreational Vehicles	1.36M
EZPW	EZCORP, Inc.	Credit Services	1.64B
EZRA	Reliance Global Group, Inc.	Insurance Brokers	4.84M
F	Ford Motor Company	Auto Manufacturers	56.21B
FA	First Advantage Corporation	Specialty Business Services	2.00B
FACT	FACT II Acquisition Corp	Shell Companies	254.89M
FAF	First American Financial Corporation	Insurance - Specialty	7.14B
FAMI	Farmmi, Inc.	Packaged Foods	18.37M
FANG	Diamondback Energy, Inc.	Oil & Gas Exploration & Production	49.10B
FARM	Farmer Bros. Co.	Packaged Foods	32.59M
FAST	Fastenal Company	Industrial Distribution	52.87B
FATE	Fate Therapeutics, Inc.	Biotechnology	170.72M
FATN	FatPipe, Inc.	Software - Infrastructure	20.33M
FBGL	FBS Global Limited	Engineering & Construction	18.63M
FBIN	Fortune Brands Innovations, Inc.	Building Products & Equipment	6.52B
FBIO	Fortress Biotech, Inc.	Biotechnology	106.15M
FBIZ	First Business Financial Services, Inc.	Banks - Regional	455.94M
FBK	FB Financial Corporation	Banks - Regional	2.83B
FBLA	FB Bancorp, Inc.	Banks - Regional	219.01M
FBLG	FibroBiologics, Inc.	Biotechnology	22.21M
FBNC	First Bancorp	Banks - Regional	2.36B
FBP	First BanCorp.	Banks - Regional	3.29B
FBRT	Franklin BSP Realty Trust, Inc.	REIT - Mortgage	739.22M
FBRX	Forte Biosciences, Inc.	Biotechnology	538.87M
FBYD	Falcon's Beyond Global, Inc.	Conglomerates	856.81M
FC	Franklin Covey Co.	Education & Training Services	150.41M
FCAP	First Capital, Inc.	Banks - Regional	170.06M
FCBC	First Community Bankshares, Inc.	Banks - Regional	717.44M
FCCO	First Community Corporation	Banks - Regional	221.72M
FCEL	FuelCell Energy, Inc.	Electrical Equipment & Parts	374.69M
FCF	First Commonwealth Financial Corporation	Banks - Regional	1.80B
FCFS	FirstCash Holdings, Inc.	Credit Services	8.48B
FCHL	Fitness Champs Holdings Limited	Education & Training Services	3.67M
FCN	FTI Consulting, Inc.	Consulting Services	4.98B
FCNCA	First Citizens BancShares, Inc.	Banks - Regional	23.60B
FCPT	Four Corners Property Trust, Inc.	REIT - Retail	2.80B
FCRS	FutureCrest Acquisition Corp.	Shell Companies	361.89M
FCUV	Focus Universal Inc.	Scientific & Technical Instruments	4.89M
FCX	Freeport-McMoRan Inc.	Copper	97.84B
FDBC	Fidelity D & D Bancorp, Inc.	Banks - Regional	252.90M
FDMT	4D Molecular Therapeutics, Inc.	Biotechnology	492.74M
FDP	Fresh Del Monte Produce Inc.	Farm Products	2.03B
FDS	FactSet Research Systems Inc.	Financial Data & Stock Exchanges	8.04B
FDSB	Fifth District Bancorp, Inc.	Banks - Regional	82.95M
FDUS	Fidus Investment Corporation	Asset Management	672.17M
FDX	FedEx Corporation	Integrated Freight & Logistics	90.99B
FE	FirstEnergy Corp.	Utilities - Regulated Electric	29.57B
FEAM	5E Advanced Materials, Inc.	Specialty Chemicals	83.02M
FEBO	Fenbo Holdings Limited	Consumer Electronics	11.73M
FEDU	Four Seasons Education (Cayman) Inc.	Education & Training Services	21.77M
FEED	ENvue Medical, Inc.	Medical Devices	2.26M
FEIM	Frequency Electronics, Inc.	Communication Equipment	490.94M
FELE	Franklin Electric Co., Inc.	Specialty Industrial Machinery	4.40B
FEMY	Femasys Inc.	Medical Instruments & Supplies	33.84M
FENC	Fennec Pharmaceuticals Inc.	Biotechnology	289.96M
FENG	Phoenix New Media Limited	Internet Content & Information	20.90M
FER	Ferrovial SE	Engineering & Construction	53.78B
FERA	Fifth Era Acquisition Corp I	Shell Companies	321.42M
FERG	Ferguson Enterprises Inc.	Industrial Distribution	50.99B
FET	Forum Energy Technologies, Inc.	Oil & Gas Equipment & Services	660.26M
FF	FutureFuel Corp.	Specialty Chemicals	189.23M
FFAI	Faraday Future Intelligent Electric Inc.	Auto Manufacturers	97.07M
FFBC	First Financial Bancorp.	Banks - Regional	2.77B
FFIC	Flushing Financial Corporation	Banks - Regional	521.20M
FFIN	First Financial Bankshares, Inc.	Banks - Regional	4.40B
FFIV	F5, Inc.	Software - Infrastructure	15.34B
FFWM	First Foundation Inc.	Banks - Regional	486.53M
FG	F&G Annuities & Life, Inc.	Insurance - Life	3.07B
FGBI	First Guaranty Bancshares, Inc.	Banks - Regional	139.14M
FGI	FGI Industries Ltd.	Furnishings, Fixtures & Appliances	10.50M
FGII	FG Imperii Acquisition Corp.	Shell Companies	232.25M
FGL	Founder Group Limited	Engineering & Construction	12.84M
FGMC	FG Merger II Corp.	Shell Companies	109.24M
FGNX	FG Nexus Inc.	Asset Management	43.95M
FHB	First Hawaiian, Inc.	Banks - Regional	3.04B
FHI	Federated Hermes, Inc.	Asset Management	4.14B
FHN	First Horizon Corporation	Banks - Regional	11.54B
FHTX	Foghorn Therapeutics Inc.	Biotechnology	332.74M
FIBK	First Interstate BancSystem, Inc.	Banks - Regional	3.50B
FICO	Fair Isaac Corporation	Software - Application	33.43B
FIG	Figma, Inc.	Software - Application	15.33B
FIGR	Figure Technology Solutions, Inc.	Capital Markets	5.46B
FIGS	FIGS, Inc.	Apparel Manufacturing	2.57B
FIGX	FIGX Capital Acquisition Corp.	Shell Companies	196.38M
FIHL	Fidelis Insurance Holdings Limited	Insurance - Diversified	1.84B
FINV	FinVolution Group	Credit Services	1.42B
FINW	FinWise Bancorp	Banks - Regional	229.97M
FIP	FTAI Infrastructure Inc.	Conglomerates	675.09M
FIS	Fidelity National Information Services, Inc.	Information Technology Services	26.21B
FISI	Financial Institutions, Inc.	Banks - Regional	621.23M
FISV	Fiserv, Inc.	Software - Application	33.31B
FITB	Fifth Third Bancorp	Banks - Regional	44.61B
FIVE	Five Below, Inc.	Specialty Retail	12.33B
FIVN	Five9, Inc.	Software - Infrastructure	1.33B
FIX	Comfort Systems USA, Inc.	Engineering & Construction	50.20B
FIZZ	National Beverage Corp.	Beverages - Non-Alcoholic	3.40B
FJET	Starfighters Space, Inc.	Aerospace & Defense	274.05M
FKWL	Franklin Wireless Corp.	Communication Equipment	46.57M
FLD	Fold Holdings, Inc.	Capital Markets	71.98M
FLEX	Flex Ltd.	Electronic Components	23.17B
FLG	Flagstar Bank, National Association	Banks - Regional	5.28B
FLGT	Fulgent Genetics, Inc.	Diagnostics & Research	473.89M
FLL	Full House Resorts, Inc.	Resorts & Casinos	81.09M
FLNC	Fluence Energy, Inc.	Utilities - Renewable	2.86B
FLNG	FLEX LNG Ltd.	Oil & Gas Midstream	1.48B
FLNT	Fluent, Inc.	Advertising Agencies	97.80M
FLO	Flowers Foods, Inc.	Packaged Foods	2.09B
FLOC	Flowco Holdings Inc.	Oil & Gas Equipment & Services	2.02B
FLR	Fluor Corporation	Engineering & Construction	7.67B
FLS	Flowserve Corporation	Specialty Industrial Machinery	11.27B
FLUT	Flutter Entertainment plc	Gambling	18.61B
FLUX	Flux Power Holdings, Inc.	Electrical Equipment & Parts	31.58M
FLWS	1-800-FLOWERS.COM, Inc.	Specialty Retail	222.95M
FLX	BingEx Limited	Integrated Freight & Logistics	175.97M
FLXS	Flexsteel Industries, Inc.	Furnishings, Fixtures & Appliances	275.13M
FLY	Firefly Aerospace Inc.	Aerospace & Defense	3.07B
FLYE	Fly-E Group, Inc.	Auto Manufacturers	3.33M
FLYW	Flywire Corporation	Software - Infrastructure	1.49B
FLYX	flyExclusive, Inc.	Airlines	189.54M
FMAO	Farmers & Merchants Bancorp, Inc.	Banks - Regional	351.43M
FMBH	First Mid Bancshares, Inc.	Banks - Regional	983.68M
FMC	FMC Corporation	Agricultural Inputs	1.84B
FMFC	Kandal M Venture Limited	Footwear & Accessories	9.14M
FMNB	Farmers National Banc Corp.	Banks - Regional	486.86M
FMS	Fresenius Medical Care AG	Medical Care Facilities	12.82B
FMST	Foremost Clean Energy Ltd.	Other Industrial Metals & Mining	33.17M
FMX	Fomento Económico Mexicano, S.A.B. de C.V.	Beverages - Brewers	36.15B
FN	Fabrinet	Electronic Components	19.55B
FNB	F.N.B. Corporation	Banks - Regional	6.07B
FND	Floor & Decor Holdings, Inc.	Home Improvement Retail	7.45B
FNF	Fidelity National Financial, Inc.	Insurance - Specialty	14.33B
FNGR	FingerMotion, Inc.	Telecom Services	75.38M
FNKO	Funko, Inc.	Leisure	276.95M
FNLC	The First Bancorp, Inc.	Banks - Regional	310.30M
FNV	Franco-Nevada Corporation	Gold	53.89B
FNWB	First Northwest Bancorp	Banks - Regional	81.70M
FNWD	Finward Bancorp	Banks - Regional	161.65M
FOA	Finance of America Companies Inc.	Credit Services	196.37M
FOFO	Hang Feng Technology Innovation Co., Ltd.	Consulting Services	22.06M
FOLD	Amicus Therapeutics, Inc.	Biotechnology	4.51B
FONR	FONAR Corporation	Diagnostics & Research	121.94M
FOR	Forestar Group Inc.	Real Estate - Development	1.46B
FORA	Forian Inc.	Health Information Services	64.63M
FORM	FormFactor, Inc.	Semiconductor Equipment & Materials	7.70B
FORR	Forrester Research, Inc.	Consulting Services	113.64M
FORTY	Formula Systems (1985) Ltd.	Information Technology Services	2.63B
FOSL	Fossil Group, Inc.	Footwear & Accessories	255.72M
FOUR	Shift4 Payments, Inc.	Software - Infrastructure	3.73B
FOX	Fox Corporation	Entertainment	22.93B
FOXA	Fox Corporation	Entertainment	23.97B
FOXF	Fox Factory Holding Corp.	Auto Parts	703.95M
FOXX	Foxx Development Holdings Inc.	Consumer Electronics	37.48M
FPH	Five Point Holdings, LLC	Real Estate - Development	812.65M
FPI	Farmland Partners Inc.	REIT - Specialty	567.70M
FPS	Forgent Power Solutions, Inc.	Electronic Components	10.55B
FR	First Industrial Realty Trust, Inc.	REIT - Industrial	8.62B
FRAF	Franklin Financial Services Corporation	Banks - Regional	227.90M
FRBA	First Bank	Banks - Regional	394.82M
FRD	Friedman Industries, Incorporated	Steel	132.36M
FRGE	Forge Global Holdings, Inc.	Capital Markets	619.05M
FRGT	Freight Technologies, Inc.	Software - Application	24.14M
FRHC	Freedom Holding Corp.	Financial Conglomerates	7.35B
FRME	First Merchants Corporation	Banks - Regional	2.48B
FRMI	Fermi Inc.	Regulated Electric	6.26B
FRO	Frontline plc	Oil & Gas Midstream	8.45B
FROG	JFrog Ltd.	Software - Application	4.80B
FRPH	FRP Holdings, Inc.	Real Estate Services	457.63M
FRPT	Freshpet, Inc.	Packaged Foods	4.14B
FRSH	Freshworks Inc.	Software - Application	2.21B
FRST	Primis Financial Corp.	Banks - Regional	325.55M
FRSX	Foresight Autonomous Holdings Ltd.	Auto Parts	6.18M
FRT	Federal Realty Investment Trust	REIT - Retail	9.44B
FSBC	Five Star Bancorp	Banks - Regional	832.17M
FSBW	FS Bancorp, Inc.	Banks - Regional	292.55M
FSEA	First Seacoast Bancorp, Inc.	Banks - Regional	56.68M
FSHP	Flag Ship Acquisition Corporation	Shell Companies	54.43M
FSI	Flexible Solutions International, Inc.	Specialty Chemicals	68.15M
FSK	FS KKR Capital Corp.	Asset Management	3.02B
FSLR	First Solar, Inc.	Solar	21.16B
FSLY	Fastly, Inc.	Software - Application	2.90B
FSM	Fortuna Mining Corp.	Gold	4.17B
FSP	Franklin Street Properties Corp.	REIT - Office	85.31M
FSS	Federal Signal Corporation	Pollution & Treatment Controls	7.09B
FSTR	L.B. Foster Company	Railroads	319.38M
FSUN	FirstSun Capital Bancorp	Banks - Regional	1.02B
FSV	FirstService Corporation	Real Estate Services	7.25B
FTAI	FTAI Aviation Ltd.	Rental & Leasing Services	31.37B
FTCI	FTC Solar, Inc.	Solar	108.17M
FTDR	Frontdoor, Inc.	Personal Services	4.87B
FTEK	Fuel Tech, Inc.	Pollution & Treatment Controls	44.13M
FTEL	Fitell Corporation	Specialty Retail	2.30M
FTFT	Future FinTech Group Inc.	Software - Application	7.52M
FTHM	Fathom Holdings Inc.	Real Estate Services	32.32M
FTI	TechnipFMC plc	Oil & Gas Equipment & Services	26.53B
FTK	Flotek Industries, Inc.	Oil & Gas Equipment & Services	459.10M
FTLF	FitLife Brands, Inc.	Packaged Foods	142.09M
FTNT	Fortinet, Inc.	Software - Infrastructure	58.48B
FTRE	Fortrea Holdings Inc.	Biotechnology	998.03M
FTRK	Fast Track Group	Entertainment	10.25M
FTS	Fortis Inc.	Utilities - Regulated Electric	29.19B
FTV	Fortive Corporation	Scientific & Technical Instruments	18.23B
FUBO	FuboTV Inc.	Broadcasting	412.68M
FUFU	BitFuFu Inc.	Capital Markets	388.99M
FUL	H.B. Fuller Company	Specialty Chemicals	3.57B
FULC	Fulcrum Therapeutics, Inc.	Biotechnology	558.11M
FULT	Fulton Financial Corporation	Banks - Regional	3.68B
FUN	Six Flags Entertainment Corporation	Leisure	1.73B
FUNC	First United Corporation	Banks - Regional	230.54M
FURY	Fury Gold Mines Limited	Other Industrial Metals & Mining	147.02M
FUSB	First US Bancshares, Inc.	Banks - Regional	87.09M
FUSE	Fusemachines Inc.	Software - Application	39.65M
FUTU	Futu Holdings Limited	Capital Markets	20.72B
FVAV	Fortress Value Acquisition Corp. V	Shell Companies	315.13M
FVCB	FVCBankcorp, Inc.	Banks - Regional	276.65M
FVN	Future Vision II Acquisition Corp.	Shell Companies	80.34M
FVR	FrontView REIT, Inc.	REIT - Diversified	467.61M
FVRR	Fiverr International Ltd.	Internet Content & Information	399.98M
FWDI	Forward Industries, Inc.	Footwear & Accessories	352.51M
FWONA	Formula One Group	Entertainment	22.49B
FWONK	Formula One Group	Entertainment	22.90B
FWRD	Forward Air Corporation	Integrated Freight & Logistics	790.27M
FWRG	First Watch Restaurant Group, Inc.	Restaurants	761.78M
FXNC	First National Corporation	Banks - Regional	239.62M
G	Genpact Limited	Information Technology Services	6.75B
GABC	German American Bancorp, Inc.	Banks - Regional	1.55B
GAIA	Gaia, Inc.	Entertainment	84.89M
GAIN	Gladstone Investment Corporation	Asset Management	545.16M
GALT	Galectin Therapeutics Inc.	Biotechnology	192.13M
GAMB	Gambling.com Group Limited	Gambling	153.33M
GAME	GameSquare Holdings, Inc.	Electronic Gaming & Multimedia	32.04M
GANX	Gain Therapeutics, Inc.	Biotechnology	100.39M
GAP	The Gap, Inc.	Apparel Retail	10.43B
GASS	StealthGas Inc.	Marine Shipping	330.96M
GATX	GATX Corporation	Rental & Leasing Services	6.54B
GAU	Galiano Gold Inc.	Gold	906.82M
GAUZ	Gauzy Ltd.	Electronic Components	9.37M
GBCI	Glacier Bancorp, Inc.	Banks - Regional	5.91B
GBDC	Golub Capital BDC, Inc.	Asset Management	3.16B
GBFH	GBank Financial Holdings Inc.	Banks - Regional	434.57M
GBLI	Global Indemnity Group, LLC	Insurance - Property & Casualty	409.71M
GBR	New Concept Energy, Inc.	Real Estate Services	4.23M
GBTG	Global Business Travel Group, Inc.	Travel Services	2.86B
GBX	The Greenbrier Companies, Inc.	Railroads	1.74B
GCBC	Greene County Bancorp, Inc.	Banks - Regional	375.78M
GCDT	Green Circle Decarbonize Technology Limited	Building Products & Equipment	24.72M
GCL	GCL Global Holdings Ltd	Electronic Gaming & Multimedia	75.01M
GCMG	GCM Grosvenor Inc.	Asset Management	2.34B
GCO	Genesco Inc.	Apparel Retail	293.99M
GCT	GigaCloud Technology Inc.	Software - Infrastructure	1.62B
GCTK	GlucoTrack, Inc.	Medical Instruments & Supplies	1.57M
GCTS	GCT Semiconductor Holding, Inc.	Semiconductors	62.81M
GD	General Dynamics Corporation	Aerospace & Defense	96.40B
GDC	GD Culture Group Limited	Electronic Gaming & Multimedia	213.22M
GDDY	GoDaddy Inc.	Software - Infrastructure	11.62B
GDEN	Golden Entertainment, Inc.	Resorts & Casinos	756.53M
GDEV	GDEV Inc.	Electronic Gaming & Multimedia	272.68M
GDHG	Golden Heaven Group Holdings Ltd.	Leisure	36.06M
GDOT	Green Dot Corporation	Credit Services	640.68M
GDRX	GoodRx Holdings, Inc.	Health Information Services	634.74M
GDS	GDS Holdings Limited	Information Technology Services	8.28B
GDTC	CytoMed Therapeutics Limited	Biotechnology	12.46M
GDYN	Grid Dynamics Holdings, Inc.	Information Technology Services	572.44M
GE	GE Aerospace	Aerospace & Defense	358.97B
GECC	Great Elm Capital Corp.	Asset Management	87.63M
GEF	Greif, Inc.	Packaging & Containers	4.15B
GEF.B	Greif, Inc.	Packaging & Containers	3.68B
GEG	Great Elm Group, Inc.	Asset Management	67.13M
GEHC	GE HealthCare Technologies Inc.	Medical Devices	38.41B
GEL	Genesis Energy, L.P.	Oil & Gas Midstream	2.21B
GELS	Gelteq Limited	Drug Manufacturers - Specialty & Generic	8.10M
GEMI	Gemini Space Station, Inc.	Capital Markets	709.45M
GEN	Gen Digital Inc.	Software - Infrastructure	13.67B
GENB	Generate Biomedicines, Inc.	Biotechnology	1.61B
GENC	Gencor Industries, Inc.	Farm & Heavy Construction Machinery	228.95M
GENI	Genius Sports Limited	Internet Content & Information	1.48B
GENK	GEN Restaurant Group, Inc.	Restaurants	63.25M
GEO	The GEO Group, Inc.	Security & Protection Services	2.06B
GEOS	Geospace Technologies Corporation	Oil & Gas Equipment & Services	118.18M
GERN	Geron Corporation	Biotechnology	1.07B
GETY	Getty Images Holdings, Inc.	Internet Content & Information	323.54M
GEV	GE Vernova Inc.	Specialty Industrial Machinery	235.46B
GEVO	Gevo, Inc.	Specialty Chemicals	429.27M
GFAI	Guardforce AI Co., Limited	Security & Protection Services	12.73M
GFF	Griffon Corporation	Building Products & Equipment	3.97B
GFI	Gold Fields Limited	Gold	52.25B
GFL	GFL Environmental Inc.	Waste Management	15.84B
GFR	Greenfire Resources Ltd.	Oil & Gas Exploration & Production	744.90M
GFS	GlobalFoundries Inc.	Semiconductors	26.42B
